short_question,short_answer,tags,label
my son who is 15 has a bad case of chicken pocks though i am a little concerned as he has a lot of pain in his neck which looks a little swollen at the back and behind his ears seems swollen too he says he also has shooting pains in his head and feels dizzy is this normal in teens who have chicken pocks or is this something else he doesnt seem himself and has not much of appetite either is this common with chicken pocks as my two younger children have just recovered without any of these symptoms,you seem concerned by the swollen neck with pain and swelling behind the ears as well you have also made a mention of shooting pains in the head along with the feeling of dizziness and a suggested diagnosis of chickenpox older children teenagers and young adults are likely to have more severe cases of chicken pox than young children they usually have more sores run a temperature for longer and may experience some nausea initial symptoms of chicken pox are usually ignored one may have slight nasal congestion a loss in appetite or one may feel tired or run down these symptoms may occur for a day or two before other manifestations of chicken pox most children with chickenpox act sick with symptoms such as a fever headache tummy ache or loss of appetite for a day or two before breaking out in the classic pox rash the outcome is generally excellent in uncomplicated cases encephalitis pneumonia and other invasive bacterial infections are serious but rare complications of chickenpox in your son is case the second possibility is of measles which shall also be ruled out in consultation with your personal physician hope this helps take care note this post is not to emphasise final diagnosis as the same cannot be made online and is aimed just to provide medical information and no treatment suggested above be taken without face to face consultation with health care professional,"['complications' 'encephalitis' 'health care' 'infections' 'diagnosis'
 'treatment' 'swelling' 'symptoms' 'headache' 'swollen'
 'measles and mumps']",1.0
my mother in law was diagnosed with breast cancer during 3rd stage around dec 2014 post which she underwent chemo followed by removal of the left gland post surgery she underwent radiation therapy for left region and in next follow up she was diagnosed with the cancer spread to her lung and liver around marapr 2015 for this she was prescribed stonger chemo which caused severe side reactions like ulcer appetite loss lose motions etc due to which she discontinued the chemo within 1 month in dec 2016 she has been diagnosed with the cancer spread to her pelvic region now she is having severe back pain and is unable to even change position on bed on her own now she is again undergoing radiation for pelvic region for 11 sessions i know it is pretty late stage but is there any possibility that she can be treated,as all of the clinical data in this area is retrospective in nature i can only comment on what has been published tgus far most of these studies show no significant increase in the risk of congenital abnormalities in children born to women who have previously been treated with chemotherapy and intracranial radiation therapy for leukemia likewise the rate of leukemia recurrence following pregnancy appears to be relatively low although there is always a small risk of delayed recurrence of leukemia with or without pregnancy you should of course discuss your concerns with both your oncologist and your gynecologist before deciding to try and have a child based upon the available evidence however it would appear to be reasonably safe for you to become pregnant if your have been in complete remission for the past 10 years if you do decide to become pregnant then you will have to be carefully monitored for any signs of all recurrence during and after your pregnancy sincerely robert a wascher md facs <link>,"['breast cancer' 'breast' 'cancer' 'radiation therapy' 'radiation'
 'surgery' 'ulcer' 'chemo' 'loss' 'radiation therapy for cancer'
 'breast cancer']",-1.0
i am a indian and 21 years old i am a post kidney transplantation patient of six week from now i have blood pressure of 165 to 150 can i do bodybuilding is any any affect of increasing blood pressure by doing exercises,your blood pressure is high and it needs to be brought down exercise is fine but strenuous work up will shot your blood pressure further i hope it helps stay in touch with your healthcare provider for further guidance as our answers are just for education and counselling purposes and cannot be an alternative to actual visit to a doctor take care khan,['high blood pressure' 'high blood pressure and hypertension'],1.0
hi i work full time in a high pressure environment and right now my body and mind are giving me signs indicating that i need a break in my work i have several procedures to follow which are constantly being updated i am having a hard time keeping up as my time is charged to clients i fill in timesheets and i am constantly under pressure to have a minimum of non billable time which is exhausting moreover i have to deal with short deadlines often several simultaneously this is made even heavier by the fact that the instructions i get are not always clear and the people i work for do not seem to grasp the concept of help me help you all this leaves me mentally exhausted today as i am demotivated tired have difficulty concentrating and am feeling like my life is pointless i know i only need a 2 week or so break to recharge my batteries but i do not have any vacations left and cannot afford a leave without pay i am afraid seeing a doctor would only get me a prescription for antidepressants and should i get a prescription for time off i would not want words like burn out or depression on it any advice what is a girl gotta do to get well needed rest without jeopardizing her job or reputation when she does not even appear sick on the outside,burn out is happening in most of the professions nowadays due to the erratic work schedules and tremendous job pressure i can understand your concern you are not depressed it is just anxiety that you are having due to the stressful job i agree with you that taking a few days leave and going for a vacation should prove positive but if you are unable to go for vacation then my advise would be to indulge in yoga and meditation half an hour to one our of yoga and meditation should charge you up for the whole day it would be better if you could join some yoga and meditation classes it is very difficult to precisely confirm a diagnosis without examination and investigations and the answer is based on the medical information provided for exact diagnosis you are requested to consult your doctor i sincerely hope that helps take care,['depression' 'depression'],1.0
my nephew who is four years has very bad mood swings and stops what he is doing and starts opening and closing of his hands he tells his mother that he wants to break her bones and break the house he goes to the bathroom on the porch and steps in ti and thinks it is funny he is in time out at school 4 out of 5 days and the daycare provider said he needs to be seen by a doctor my sister is so frustrated she does not know what to do other things he does is spit at people hit others punches his mom yells a lot calls eveyone stupid says he wants to hurt animals and people his speech is hard to understand he starts a conversation and be fore he can finish he will stop and talk about something completly different my sister does not know what to do she thinks possible autism what do you think,it is very difficult to reach a definitive diagnosis with the information that you have given about your 4 year old nephew but i will still hint at the possibilities the first possibility to consider is that of disruptive behavioral disorder characterised by destructive and disobedient behaviors as in your nephew like hitting others yelling calling others stupid and missing school 4 out of 5 days as children age oppositional and defiant behavior may continue and result in children having persisting conflicts with adults and peers at home and at school the other likely possibility though is that of autism as indicated by stereotyped and repetitive motor mannerisms of opening and closing of hands plus the speech problems like inability to sustain a conversation delay in development of spoken languageas you said that his speech is hard to understand preoccupation with stereotyped interestas in going to bathroom on the porch the other likely possibility is that of premorbid stage of childhood schizophrenia in the form of disorganized speechbefore he can finish one talk he stops and talks about something different and completely unrelated aggressive behaviour disruptive behaviour alternating moods inappropriate to environment school problems etc the only thing missing is the presence of delusions and hallucinations which usually do not develop before mid adolescence so it is difficult to commit schizophrenia but still suggestive of premorbid stage suggesting the likelihood of developing into full fledged schizophrenia in adolescent years of life all above are the likely possibilities only as it is not possible to reach definitive diagnosis without detailed interview of child and parents and observation of the child in person you must consult your pediatrician for the same as early intervention is always helpful in treating the psychopathology hope this helps take care,"['autism signs' 'autism' 'behavioral disorder' 'early intervention'
 'pediatrician' 'alternating' 'aggressive' 'behaviors' 'diagnosis'
 'childhood' 'autism']",-1.0
mom process conducted cancerous tumor in the liver by the microwave tumor size of 2 cm kind hcc analysis of alpha fetoprotein before surgery 37and normal was 15 a week after surgery 22 7 normall 10 why did not the result appears normal after getting rid of the cancerous tumor what medications that must be addressed now after the operation so as not to come back again the tumor is infected with virus c and cirrhosis of the liver and blood pressure and of diabetes at the age of 54 thanks,it is difficult for a common person to deal with psychiatric issues on their own if you think you are having psychosis or related issues seek proper counselling with a psychiatrist who can prescribe you proper medications which can help you get better and function as a normal individual i hope this helps,"['before surgery' 'after surgery' 'medications' 'infected' 'diabetes'
 'analysis' 'surgery' 'liver' 'tumor' 'alpha' 'liver cancer']",-1.0
i have been taking methadose and oxycotin illeagely for over a year now i am now trying to quit the withdrawls are the worst thing i have ever experienced so i keep going back to get more i have no insurance and i dont have the money to go to the e r is there any way i can ease the pain so i can get my life back in order please help i dont know what to do,a billiary obstruction can cause white feces a stoolâs color originates from the billiary pigment or bilirubin that is excreted through bile into the intestines bilirubin turns into biliverdin and sterkobillin that give stool its typical color an obstruction of the bile duct choledocus may be caused by a bile stone or some type of tumor laboratory analyses direct bilirubin an ultrasound scan a ct scan an intravenous cholangiography and an endoscopic retrograde cholangio pancreaticography ercp are diagnostic tools that will provide you with more information about the cause of the white stool or aholia you can consult an internist for more details,['addiction' 'recovery'],-1.0
hi there i have extremely bright yellowy orangey mucus and have been recovering from a flu  cold any ideas what it could be,your concern is regarding the bright yellow or orange snot during cold since you are recovering from a cold the yellow thick mucus is due to your body fighting off the infection it is bright yellow at first which changes to dark yellow a few days later orange colored or red colored phlegm can be due to presence of blood in the mucus which may be due to frequent nose blowing or slight bleeding of the blood vessels during cold however if the red color persists for many days or there is any frank bleeding then it needs evaluation persistence of yellow color should rule out presence of sinus infection or sinusitis steam inhalation is quite useful in both the cases it is very difficult to precisely confirm a diagnosis without examination and investigations and the answer is based on the medical information provided for exact diagnosis you are requested to consult your doctor i sincerely hope that helps take care,['flu' 'cold and flu' 'cold' 'flu and viral infections'],1.0
my friend is 23 years old recently he started suffering from hardhips breathing and a sting like feeling below his heart but this only occurs at night and it is getting worse should he be afraid of potential heart attacks or not and what are the possible causes please thank you very much,a cardiac cause for chest discomfort and pain should be ruled out primarily one should have a very low threshold for it a baseline ekg should be done just to be on the safe side based on your description its unlikely to be a cardiac cause if the chest pain is involving chest wall tenderness then costochondritis is the likely cause and would only require nsaids like ibuprofen for treatment wishing you best of health thanks,"['heart disease' 'heart attack' 'heart health'
 'heart disease and heart attack']",1.0
hello i have a question concerning addadhd i have always procrastinated since i was little and it was not a very big deal until i got into late high school i am now in college and cannot muster up the motivation to do work i know i have to do i know i have the intelligence to get the work done better and faster than i am completing it but i usually lose focus after 20 30 minutes into the assignment and get distracted by anything that is slightly more interesting this has always been the case since i can remember my question is do you think this is a legitimate reason for me to go seek medical help and if so how do i bring it up without appearing to be a bum college student looking for a fix any insight you could give me on the matter would be greatly appreciated,i am very sorry to know about your medical problems but without a proper medical history and complete physical examination and psychiatric assessment it would not be possible to assess your situation hence it would be recommended to consult with your doctor and seek proper medical help,['add/adhd' 'add  and  adhd'],1.0
i have a hard bump on the up side of the left foot it use to hurt but not anymore it could be from trauma but i am not sure i am worried because i do not remember if i hit my foot or not when i rub my feet i feel like a little mountain really hard,current medical status a bump on my left foot not sure if because of trauma or shoes current medical treatment norvasc âa hard bumpâ on the upper side of the foot is generally considered as a tumor that could originate from the skin subcutaneous fat tissue or underlying tissues muscles tendons joints bones blood vesselsâ¦ you could consult a plastic surgeon about this âbumpâ,"['skin' 'tumor' 'tumors' 'medical treatment' 'abnormal cell' 'treatment'
 'muscles' 'joints' 'trauma' 'feet'
 'inflammatory and abnormal cell disorders']",1.0
i am currently 23 weeks pregnant since i become 3 month pregnant my work has made my life a misery basically keep swapping and changing my job after sorting it out then told me im expected to do the same work as everybody else as pregnancy is not a disability or a illness and at this stage of my pregnancy i should not be getting tired i am really depressed and stress over work getting frequant headaches just wondering if i go to doctors and go o n sick pay will i get full pay due to stress and depression due to work,it is more likely that she could be having a infectious or inflammatory disorder affecting the central nervous system brain and spinal cord resulting in neuropathy like symptoms it would be best that she consult with a neurologist who can examine her and provide a proper opinion about further management,"['depression during pregnancy' 'depression' 'pregnancy'
 'pregnancy depression' 'headaches' 'pregnant' 'stress' 'tired'
 'headaches during pregnancy' 'stress and headaches'
 'depression during pregnancy']",-1.0
i had been with my husband for a total of almost 10 yrs but we were only married for almost 3 yrs my husband recently had an affair he had the affair with this women for only 1 mth b4 i found out and so i kicked him out he has only been seeing this girl since feb but yet moved in with her right away he not only left me but also our 2 yr old son he claims that he does not love me anymore how can he just move on with someone else like that and throw away all our history i feel deep down that he still loves me because i see it in his eyes i just feel that he thinks the grass is greener with her how do i cope since he is been gone now for 3 months and i feel its getting harder and harder he just recently picked up the rest of his things on our 3rd year anniversary i just cant help but feel he is made a mistake,healing takes a couple of weeks till full recovery so its alright if you cant walk for a while due to pain and inflammation there hang in there stay compliant to pain killers keep limbs elevated and hope for the best i hope it helps stay in touch with your healthcare provider for further guidance as our answers are just for education and counselling purposes and cannot be an alternative to actual visit to a doctor take care khan,['ending a relationship'],-1.0
hi if a person with liver disease has slightly increased inr and increased thrombocites can we administer vitamin k2 and k3 many thanks in advance for your advice,your concern is regarding the pain that you are having in the face jaw ear and eye without physical examination it is very difficult to confirm and it can be either tmj or toothache tmj pain disorders usually occur because of unbalanced activity spasm or overuse of the jaw muscles this causes inflammation of the jaw joint and hence severe pain which may radiate to the ears as well diagnosis is confirmed by x rays or ct of the joint you can apply warm compresses to the joint and take anti inflammatory pain killer drugs after consulting your doctor a physical therapist can also be approached as craniosacral therapy to relax the muscles and fascia of the jaw is very helpful in relieving the pain it is very difficult to precisely confirm a diagnosis without examination and investigations and the answer is based on the medical information provided for exact diagnosis you are requested to consult your doctor i sincerely hope that helps take care,"['liver cancer' 'liver' 'cancer' 'liver disease' 'administer'
 'cancer advice' 'liver cancer']",-1.0
hi my mum has had a lump just below her clavicalcollarbone she had an x ray and the guy said he did not know what it was but he did not think it was cancerous just to come back for a check up in 6 months fast forward a couple months my mom went to her gp and she ordered an mri the results just came back and it said she has a hypo intense t1 and hyperintense stir involving the first anterior rib a subtle abnormal enhancement of the rib was also identified everything else in the area looked normal they said she needs to go back for a ct scan she just had a benign brain tumor removed and now she has to go through this it is very difficult is this something that sounds like we should be concerned about what could this possibly potentially be thank you,it is difficult to interpret the possible cause of the lesion detected in the mri without more medical history as well and complete mri visualization possible causes that can present as lumps around the clavicle include   enlarged lymph nodes with or without abscess formation tumors like osteochondroma or it could also be a bony lump caused by a healing fracture of the clavicle it would be best if you can consult the doctors treating you who can go through the mri and advice you accordingly i hope this helps,['cancer' 'brain cancer' 'bone cancer'],1.0
what happens if a new mother takes mentone syrup,nothing will happen really but you should not take these syrups without consulting your obs and gyn and he baby is pediatrician if you are still pregnant please inform your obs and gyn immediately if you have recently delivered please stop it immediately as one cannot really be sure about ayurvedic products unless proven safe through clinical trials hope this helps take care,"['pediatrician' 'pregnant' 'about nursing' 'baby products' 'baby nursing'
 'baby mother' 'baby forum' 'baby safe' 'baby new' 'baby care products'
 'breastfeeding and nursing']",1.0
hello am 22 years old and i have type 2diabet i wanted to sign for a new gym which use electric vibes to improve heart pulses and fasten the process of loosing weight i wanted to know if it is dangerous for me knowing that 20min of this sports equals 4 h of normal one thanks,there is no harm in signing up to a gym or trying some machine that helps in losing weight via mechanical vibration as long as it does not have harmful radiations i hope it helps stay in touch with your healthcare provider for further guidance as our answers are just for education and counselling purposes and cannot be an alternative to actual visit to a doctor take care khan,['diabetes' 'diabetes'],1.0
hello doctor i wanted to know what to do my 2 year old child everytime he wakes up for short time he wants to be breastfeeded please let me know what to do as i want him to sleep throught out the night without waking up,most babies start to walk at the age of 12 months at 9 10 months your baby should manage to stand on his feet but every babyâs development is individual and there are always variations in development nonetheless it will help to bring your daughter to a pediatrician to test his motor functions,"['treatment options' 'pediatrician' 'treatment' 'sleep' 'food'
 'baby solid food' 'baby to sleep' 'baby 6 months' 'baby treatment'
 'about nursing' 'breastfeeding and nursing']",-1.0
hello  i am a 24 year old female 54 & 115 lb & was diagnosed with pcos at 19 i have always been active & extremely healthy spironolactone & an iud helped with acne & pain but in 2013 i had an ovarian torsion requiring surgery & they saved my right ovary i began having hair loss from telogen effogen & reoccurant yeast infections  i was diagnosed as pre diabetic & cut sugar our from my already low sugar diet fast forward to january of this year i went to the er due to pain from another torsion on the right side & again the ovary was saved i was put on ortho tricyclen lo & still have my iud & take the spironolactone but had horribly painful cysts last month which brought me to the er but with no torsion they did nothing the pain has been intermitten since & is getting more severe it feels like ice cubes in my ovaries & warm waterelectic shocks down my thighs i had the hpv vaccine but my last pap showed up irregular & the biopsy of cysts got lost any thoughts on what happening,hello thanks for submitting your question here as per the description you have undergone repeated surgery for ovarian torsion where the ovary is preserved this sounds a bit different as in torsion it is a dictum to remove the whole ovary now as you are having recurrent pain from the ovaries you need an obg consultation right now there may be possibility of endometriosis which might present with similar feature you need to have the biopsy of previous operation and only after few blood tests and clinical examination a definite opinion can be formed sincerely dr bhattacharyya,['hair loss' 'diet' 'acne' 'ovulation and ovaries'],1.0
i cant eat i cant sleep   im on a break on his decision from the love of my life   we live together & have been together just over a year he has other things going on that are really stressing him atm he has asked for space and is staying at a friends in teh short term till he has decided what to do about us in the long term this is the most pain that i have ever been in   food has gone out the window sleep and work i am managing to keep up because i have to how do i get through this   i need him to say restart i need him to,use crutches you can do all your activities with support wait for the cast to remove recovery time varies from 6 months to a year to 18 months i hope it helps stay in touch with your healthcare provider for further guidance as our answers are just for education and counselling purposes and cannot be an alternative to actual visit to a doctor take care khan,"['depression' 'sleep' 'food' 'atm' 'about depression' 'sleep depression'
 'broken hearted']",-1.0
hi i have an enquiry mostly every morning when i wake up and look in a mirror i see bright white marks on my front two teeth they do dissapear after 3 4 hours but then again next morning they re appear i always think for some reason that its cos i sleep with my mouth open and breathe in from my mouth could you please tell me why these marks appear and how i could prevent the white marks from appearing every morning thanks in anticipation<positive_smiley>,i do not know what might be causing the bright white marks on your front two teeth to get more information you can ask this of your dentist when you sleep with an open mouth you are probably experiencing a problem with the air passage through the nose this might be caused by inflammation polyps or septum deviation you can go to an ent specialist for a rhinoscopy to investigate your tendency to sleep with an open mouth,"['dental health' 'anticipation' 'polyps' 'sleep' 'mouth' 'nose'
 'ask health question' 'sleep problem' 'air breathe' 'air health'
 'dental health']",1.0
i have a lesion on the side of my shaft i have already tested negative for ghonorrea and chlymedia but they took a culture of the lesion yesterday it burnt when i peed a couple days ago but does not burn anymore could it be herpes or just a infection in my skin,get evaluated for complete std panel herpes syphilis all needs to be ruled out you need to consult a sexual disease specialist let them have a look and decide what is is i hope it helps stay in touch with your healthcare provider for further guidance as our answers are just for education and counselling purposes and cannot be an alternative to actual visit to a doctor take care khan,['sexual health' 'healthcare it' 'skin health' 'herpes and genital warts'],1.0
